#options: 1440x1062 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=3500 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=4000 vbv_bufsize=7000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:92 out:93 type:b dur:2 cpbdur:2 q:23.87 aq:19.88 tex:9727 mv:6441 misc:3216 imb:16 pmb:847 smb:5167 d:- ref:0 ;
in:97 out:94 type:P dur:2 cpbdur:2 q:24.11 aq:15.81 tex:195817 mv:16117 misc:5586 imb:246 pmb:3120 smb:2664 d:s ref:0 ;
in:95 out:95 type:B dur:2 cpbdur:2 q:24.15 aq:19.09 tex:10861 mv:6409 misc:3490 imb:22 pmb:926 smb:5082 d:s ref:0 ;
in:94 out:96 type:b dur:2 cpbdur:2 q:24.15 aq:19.86 tex:6236 mv:4299 misc:2561 imb:16 pmb:540 smb:5474 d:s ref:0 ;
in:96 out:97 type:b dur:2 cpbdur:2 q:24.15 aq:17.81 tex:1446 mv:780 misc:1670 imb:2 pmb:308 smb:5720 d:- ref:0 ;
in:100 out:98 type:P dur:2 cpbdur:2 q:23.93 aq:15.66 tex:194676 mv:16609 misc:5411 imb:255 pmb:2951 smb:2824 d:s ref:0 ;
in:98 out:99 type:B dur:2 cpbdur:2 q:24.11 aq:19.71 tex:10976 mv:5986 misc:2990 imb:24 pmb:680 smb:5326 d:s ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:24.11 aq:20.65 tex:5678 mv:4639 misc:2459 imb:9 pmb:529 smb:5492 d:- ref:0 ;
in:105 out:101 type:P dur:2 cpbdur:2 q:24.17 aq:16.37 tex:195107 mv:18421 misc:5024 imb:349 pmb:2561 smb:3120 d:s ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:24.27 aq:18.15 tex:40674 mv:12448 misc:3958 imb:46 pmb:1379 smb:4605 d:s ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:24.27 aq:20.59 tex:7001 mv:5030 misc:2529 imb:13 pmb:569 smb:5448 d:s ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:24.27 aq:17.89 tex:936 mv:467 misc:1293 imb:2 pmb:223 smb:5805 d:- ref:0 ;
in:104 out:105 type:b dur:2 cpbdur:2 q:24.27 aq:21.09 tex:7302 mv:4946 misc:2504 imb:7 pmb:556 smb:5467 d:- ref:0 ;
in:108 out:106 type:P dur:2 cpbdur:2 q:24.12 aq:16.23 tex:186825 mv:17806 misc:4889 imb:331 pmb:2499 smb:3200 d:s ref:0 ;
in:106 out:107 type:B dur:2 cpbdur:2 q:24.29 aq:19.92 tex:14631 mv:8032 misc:2953 imb:16 pmb:775 smb:5239 d:s ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:24.32 aq:20.95 tex:8340 mv:6644 misc:2624 imb:12 pmb:649 smb:5369 d:- ref:0 ;
in:109 out:109 type:P dur:2 cpbdur:2 q:22.90 aq:15.32 tex:63739 mv:4670 misc:5063 imb:72 pmb:1748 smb:4210 d:s ref:0 ;
in:114 out:110 type:P dur:2 cpbdur:2 q:23.10 aq:16.43 tex:227535 mv:21194 misc:4487 imb:504 pmb:2365 smb:3161 d:s ref:0 ;
in:111 out:111 type:B dur:2 cpbdur:2 q:23.15 aq:17.83 tex:53777 mv:14604 misc:3923 imb:43 pmb:1558 smb:4429 d:s ref:0 ;
in:110 out:112 type:b dur:2 cpbdur:2 q:23.15 aq:20.19 tex:12512 mv:7269 misc:2963 imb:18 pmb:793 smb:5219 d:s ref:0 ;
in:112 out:113 type:b dur:2 cpbdur:2 q:23.14 aq:20.00 tex:15481 mv:8119 misc:2936 imb:12 pmb:843 smb:5175 d:- ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:23.14 aq:19.54 tex:14822 mv:8354 misc:3200 imb:23 pmb:875 smb:5132 d:- ref:0 ;
in:117 out:115 type:P dur:2 cpbdur:2 q:22.30 aq:18.14 tex:79642 mv:11745 misc:3589 imb:233 pmb:1577 smb:4220 d:s ref:0 ;
in:115 out:116 type:B dur:2 cpbdur:2 q:23.10 aq:17.67 tex:2064 mv:2244 misc:2396 imb:1 pmb:547 smb:5482 d:s ref:0 ;
in:116 out:117 type:b dur:2 cpbdur:2 q:23.10 aq:20.18 tex:14393 mv:7619 misc:3148 imb:21 pmb:919 smb:5090 d:- ref:0 ;
in:118 out:118 type:I dur:2 cpbdur:2 q:19.81 aq:12.70 tex:2102533 mv:210810 misc:377 imb:6030 pmb:0 smb:0 d:s ref:;
in:124 out:119 type:P dur:2 cpbdur:2 q:23.87 aq:15.75 tex:435152 mv:27436 misc:2620 imb:853 pmb:4582 smb:595 d:s ref:0 ;
in:121 out:120 type:B dur:2 cpbdur:2 q:23.87 aq:18.21 tex:59905 mv:18826 misc:5045 imb:144 pmb:2767 smb:3119 d:s ref:0 ;
in:119 out:121 type:b dur:2 cpbdur:2 q:23.87 aq:20.54 tex:5934 mv:4580 misc:2486 imb:34 pmb:541 smb:5455 d:s ref:0 ;
in:120 out:122 type:b dur:2 cpbdur:2 q:23.87 aq:18.23 tex:1189 mv:923 misc:2008 imb:0 pmb:405 smb:5625 d:s ref:0 ;
in:122 out:123 type:b dur:2 cpbdur:2 q:23.87 aq:19.71 tex:4928 mv:3462 misc:2450 imb:21 pmb:482 smb:5527 d:- ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:23.87 aq:20.33 tex:5467 mv:3607 misc:2326 imb:19 pmb:471 smb:5540 d:- ref:0 ;
in:129 out:125 type:P dur:2 cpbdur:2 q:24.36 aq:15.99 tex:225479 mv:19650 misc:5063 imb:293 pmb:3668 smb:2069 d:s ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:24.39 aq:18.93 tex:14786 mv:7673 misc:3965 imb:42 pmb:1139 smb:4849 d:s ref:0 ;
